Model,Organization,Domain,Task,Publication date,Model accessibility,Organization categorization,Open model weights?,is_milestone,domain_simplified
Go-explore,"Uber AI,OpenAI",Games,Atari,2020-04-27,Unreleased,"Industry,Industry",No,False,Other
GPT3-6.7B (rerun of original),"Microsoft,OpenAI",Language,Language modeling/generation,2020-05-28,Unreleased,"Industry,Industry",No,False,Language
GPT-3 175B (davinci),OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-05-28,API access,Industry,No,True,Language
iGPT-L,OpenAI,"Image generation,Vision",Image completion,2020-06-17,Open weights (unrestricted),Industry,Yes,False,Image/Vision
iGPT-XL,OpenAI,"Vision,Image generation",Image completion,2020-06-17,Open weights (unrestricted),Industry,Yes,False,Image/Vision
GPT-3 XL,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
GPT-3 Small,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
GPT-3 Medium,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
GPT-3 Large,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
GPT-3 2.7B,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
GPT-3 6.7B,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
GPT-3 13B,OpenAI,Language,"Text autocompletion,Language modeling/generation",2020-06-22,,Industry,,True,Language
CLIP (ViT L/14@336px),OpenAI,"Multimodal,Vision,Language,Video","Zero-shot image classification,Character recognition (OCR),Video description",2021-01-05,Open weights (unrestricted),Industry,Yes,False,Language
DALL-E,OpenAI,Image generation,"Text-to-image,Image generation",2021-01-05,API access,Industry,No,True,Image/Vision
CLIP (ResNet-50),OpenAI,"Multimodal,Vision,Language,Video","Zero-shot image classification,Character recognition (OCR),Video description",2021-01-05,Open weights (unrestricted),Industry,Yes,False,Language
Very Deep VAEs (ImageNet-64),OpenAI,Image generation,"Image generation,Image representation",2021-03-16,Open weights (unrestricted),Industry,Yes,False,Image/Vision
ADM,OpenAI,Image generation,"Image generation,Text-to-image",2021-05-11,Open weights (non-commercial),Industry,Yes,False,Image/Vision
GPT2-Large+LHOPT,OpenAI,Language,Language modeling/generation,2021-06-02,Unreleased,Industry,No,False,Language
Codex,OpenAI,Language,Code autocompletion,2021-07-07,API access,Industry,No,False,Language
GLIDE,OpenAI,Image generation,"Image generation,Text-to-image",2021-12-20,Open weights (unrestricted),Industry,Yes,False,Image/Vision
InstructGPT 350M,OpenAI,Language,Language modeling/generation,2022-01-27,,Industry,,False,Language
InstructGPT 1.3B,OpenAI,Language,Language modeling/generation,2022-01-27,API access,Industry,No,False,Language
